id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
19754	mobile applications	0.4465	0.4687	2	95	3068	840	2019.2821
19760	mobile apps	0.5069	0.786	3	53	248	88	2019.9659
19959	mobile health	0.2854	0.4337	3	90	1258	366	2018.8661
19960	mobile health (m-health)	-0.188	0.6968	3	60	247	62	2016.5806
19968	mobile health application	-0.1577	0.5136	3	73	345	85	2018.9176
19972	mobile health care	-0.8002	-0.0048	1	60	198	51	2012.9216
20003	mobile healthcare	-0.6719	0.1946	1	52	152	52	2017.9038
20142	mobile phone	0.6516	-0.0408	2	88	1894	526	2016.6901
20169	mobile phones	-0.1473	-0.5933	1	77	559	140	2013.15
20208	mobile security	-0.8938	0.3254	1	93	1870	689	2017.1771
20262	mobile technology	-0.0519	-0.0568	1	78	255	86	2015.6977
20266	mobile telecommunication systems	-0.8356	-0.1696	1	92	1278	483	2015.7081
23209	patient care	0.8314	0.0199	2	78	711	179	2017.1564
23327	patient safety	0.876	-0.2499	2	67	375	90	2017.6889
28139	security	-0.3689	0.1993	1	97	2068	782	2018.454
28259	security issues	-0.7759	0.3571	1	48	135	50	2016.86
28291	security of data	-0.7072	-0.2489	1	86	877	322	2014.0093
28359	security systems	-0.7026	-0.0879	1	78	448	214	2015.5701
29349	smart cards	-0.4213	-0.7994	1	52	162	54	2014.4815
29353	smart city	-1.0733	0.0924	1	43	149	98	2019.9286
29404	smart healthcare	-0.9708	0.0164	1	45	119	52	2022.1154
29476	smart phones	-0.5798	0.5993	1	65	334	86	2019.0116
29542	smartphone	0.6071	0.5624	2	88	1323	311	2018.6592
29571	smartphones	-0.4118	0.5652	1	92	1132	300	2017.9167
29837	software	0.4713	-0.0056	2	81	526	130	2017.1538
29866	software design	0.0601	0.3964	4	68	236	59	2016.9661
30355	standard	0.6722	-0.4274	2	60	227	58	2013.2414
30376	standards	0.3644	-0.3086	2	82	500	104	2015.0577
31635	telephone sets	-0.2593	-0.4797	1	75	457	98	2012.9082
